pair_id,variant_id,paper_id,benchmark,base_method,variant_method,variant_label,dataset,main_score,variant_score,delta,description,source
"2110.01548|EDAC|eta=5.0, N=50|hopper-random","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-random,25.3,1.9,-23.4,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.0, N=50|hopper-medium","2110.01548|EDAC|eta=0.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.0, N=50",hopper-medium,101.6,7.3,-94.3,"variant: eta=0.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=1.0, N=50|hopper-medium","2110.01548|EDAC|eta=1.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=1.0, N=50",hopper-medium,101.6,101.6,0.0,"variant: eta=1.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""1.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=2.0, N=50|hopper-medium","2110.01548|EDAC|eta=2.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=2.0, N=50",hopper-medium,101.6,94.5,-7.1,"variant: eta=2.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""2.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=5.0, N=50|hopper-medium","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-medium,101.6,75.5,-26.1,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.0, N=50|hopper-expert","2110.01548|EDAC|eta=0.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.0, N=50",hopper-expert,110.1,2.3,-107.8,"variant: eta=0.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.5, N=50|hopper-expert","2110.01548|EDAC|eta=0.5, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.5, N=50",hopper-expert,110.1,110.3,0.2,"variant: eta=0.5, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.5""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=1.0, N=50|hopper-expert","2110.01548|EDAC|eta=1.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=1.0, N=50",hopper-expert,110.1,110.1,0.0,"variant: eta=1.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""1.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=2.0, N=50|hopper-expert","2110.01548|EDAC|eta=2.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=2.0, N=50",hopper-expert,110.1,109.8,-0.3,"variant: eta=2.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""2.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=5.0, N=50|hopper-expert","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-expert,110.1,109.9,-0.2,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.0, N=50|hopper-medium-expert","2110.01548|EDAC|eta=0.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.0, N=50",hopper-medium-expert,110.7,46.9,-63.8,"variant: eta=0.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.5, N=50|hopper-medium-expert","2110.01548|EDAC|eta=0.5, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.5, N=50",hopper-medium-expert,110.7,103.8,-6.9,"variant: eta=0.5, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.5""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=1.0, N=50|hopper-medium-expert","2110.01548|EDAC|eta=1.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=1.0, N=50",hopper-medium-expert,110.7,110.7,0.0,"variant: eta=1.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""1.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=2.0, N=50|hopper-medium-expert","2110.01548|EDAC|eta=2.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=2.0, N=50",hopper-medium-expert,110.7,109.8,-0.9,"variant: eta=2.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""2.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=5.0, N=50|hopper-medium-expert","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-medium-expert,110.7,109.8,-0.9,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.0, N=50|hopper-medium-replay","2110.01548|EDAC|eta=0.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.0, N=50",hopper-medium-replay,101.0,100.9,-0.1,"variant: eta=0.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.5, N=50|hopper-medium-replay","2110.01548|EDAC|eta=0.5, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.5, N=50",hopper-medium-replay,101.0,100.3,-0.7,"variant: eta=0.5, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.5""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=1.0, N=50|hopper-medium-replay","2110.01548|EDAC|eta=1.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=1.0, N=50",hopper-medium-replay,101.0,101.0,0.0,"variant: eta=1.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""1.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=2.0, N=50|hopper-medium-replay","2110.01548|EDAC|eta=2.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=2.0, N=50",hopper-medium-replay,101.0,100.2,-0.8,"variant: eta=2.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""2.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=5.0, N=50|hopper-medium-replay","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-medium-replay,101.0,20.6,-80.4,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.0, N=50|hopper-full-replay","2110.01548|EDAC|eta=0.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.0, N=50",hopper-full-replay,105.4,105.6,0.2,"variant: eta=0.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=0.5, N=50|hopper-full-replay","2110.01548|EDAC|eta=0.5, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=0.5, N=50",hopper-full-replay,105.4,104.9,-0.5,"variant: eta=0.5, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""0.5""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=2.0, N=50|hopper-full-replay","2110.01548|EDAC|eta=2.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=2.0, N=50",hopper-full-replay,105.4,104.0,-1.4,"variant: eta=2.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""2.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
"2110.01548|EDAC|eta=5.0, N=50|hopper-full-replay","2110.01548|EDAC|eta=5.0, N=50",2110.01548,d4rl,EDAC,EDAC,"eta=5.0, N=50",hopper-full-replay,105.4,106.3,0.9,"variant: eta=5.0, N=50; conditions: {""num_q_networks"": ""50"", ""eta"": ""5.0""}; notes: Appendix H eta sensitivity sweep on hopper datasets with N fixed to 50; 'Dataset type' column gives only the suffix, environment is hopper per table caption. Seeds not restated for Table 9 (assumed same 4-seed protocol).",Table 9 vs main Table 1
2208.06193|BC-Diffusion|main|halfcheetah-medium-expert,2208.06193|BC-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BC-Diffusion,main,halfcheetah-medium-expert,96.8,76.6,-20.2,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy trained with the behavior-cloning diffusion loss Ld only (no Q-learning term).; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.06193|BC-Diffusion|main|hopper-medium-expert,2208.06193|BC-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BC-Diffusion,main,hopper-medium-expert,111.1,78.0,-33.1,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy trained with the behavior-cloning diffusion loss Ld only (no Q-learning term).; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.06193|BC-Diffusion|main|walker2d-medium-expert,2208.06193|BC-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BC-Diffusion,main,walker2d-medium-expert,110.1,103.1,-7.0,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy trained with the behavior-cloning diffusion loss Ld only (no Q-learning term).; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.06193|BCQ-Diffusion|main|halfcheetah-medium-expert,2208.06193|BCQ-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BCQ-Diffusion,main,halfcheetah-medium-expert,96.8,94.6,-2.2,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy used as the generative model inside the BCQ policy-improvement framework instead of Diffusion-QL's Q-learning guidance.; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.06193|BCQ-Diffusion|main|hopper-medium-expert,2208.06193|BCQ-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BCQ-Diffusion,main,hopper-medium-expert,111.1,109.3,-1.8,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy used as the generative model inside the BCQ policy-improvement framework instead of Diffusion-QL's Q-learning guidance.; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.06193|BCQ-Diffusion|main|walker2d-medium-expert,2208.06193|BCQ-Diffusion|main,2208.06193,d4rl,Diffusion-QL,BCQ-Diffusion,main,walker2d-medium-expert,110.1,114.0,3.9,variant: main; conditions: {}; notes: ablation column; variant method description: Ablation variant: the diffusion policy used as the generative model inside the BCQ policy-improvement framework instead of Diffusion-QL's Q-learning guidance.; variant settings: note=hyperparameters not separately stated; presumed shared with Diffusion-QL (Appendix B/C),Table 2 vs main Table 1
2208.10291|TAP|horizon=3|halfcheetah-medium-expert,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,halfcheetah-medium-expert,91.8,91.74,-0.06,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|halfcheetah-medium-expert,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,halfcheetah-medium-expert,91.8,91.17,-0.63,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|halfcheetah-medium-expert,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,halfcheetah-medium-expert,91.8,91.77,-0.03,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|halfcheetah-medium-expert,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,halfcheetah-medium-expert,91.8,90.6,-1.2,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|hopper-medium-expert,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,hopper-medium-expert,105.5,88.3,-17.2,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|hopper-medium-expert,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,hopper-medium-expert,105.5,104.01,-1.49,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|hopper-medium-expert,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,hopper-medium-expert,105.5,105.53,0.03,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|hopper-medium-expert,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,hopper-medium-expert,105.5,96.4,-9.1,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|walker2d-medium-expert,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,walker2d-medium-expert,107.4,99.4,-8.0,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|walker2d-medium-expert,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,walker2d-medium-expert,107.4,107.25,-0.15,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|walker2d-medium-expert,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,walker2d-medium-expert,107.4,107.44,0.04,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|walker2d-medium-expert,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,walker2d-medium-expert,107.4,108.82,1.42,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|halfcheetah-medium,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,halfcheetah-medium,45.0,44.01,-0.99,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|halfcheetah-medium,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,halfcheetah-medium,45.0,44.98,-0.02,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|halfcheetah-medium,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,halfcheetah-medium,45.0,45.04,0.04,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|halfcheetah-medium,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,halfcheetah-medium,45.0,44.7,-0.3,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|hopper-medium,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,hopper-medium,63.4,49.7,-13.7,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|hopper-medium,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,hopper-medium,63.4,64.44,1.04,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|hopper-medium,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,hopper-medium,63.4,63.44,0.04,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|hopper-medium,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,hopper-medium,63.4,66.7,3.3,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|walker2d-medium,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,walker2d-medium,64.9,65.04,0.14,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|walker2d-medium,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,walker2d-medium,64.9,63.21,-1.69,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|walker2d-medium,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,walker2d-medium,64.9,64.87,-0.03,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|walker2d-medium,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,walker2d-medium,64.9,52.03,-12.87,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|halfcheetah-medium-replay,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,halfcheetah-medium-replay,40.8,40.59,-0.21,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|halfcheetah-medium-replay,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,halfcheetah-medium-replay,40.8,41.51,0.71,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|halfcheetah-medium-replay,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,halfcheetah-medium-replay,40.8,40.78,-0.02,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|halfcheetah-medium-replay,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,halfcheetah-medium-replay,40.8,41.36,0.56,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|hopper-medium-replay,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,hopper-medium-replay,87.3,29.39,-57.91,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|hopper-medium-replay,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,hopper-medium-replay,87.3,90.17,2.87,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|hopper-medium-replay,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,hopper-medium-replay,87.3,87.3,0.0,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|hopper-medium-replay,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,hopper-medium-replay,87.3,96.35,9.05,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=3|walker2d-medium-replay,2208.10291|TAP|horizon=3,2208.10291,d4rl,TAP,TAP,horizon=3,walker2d-medium-replay,66.8,57.58,-9.22,"variant: horizon=3; conditions: {""planning_horizon"": ""3""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=9|walker2d-medium-replay,2208.10291|TAP|horizon=9,2208.10291,d4rl,TAP,TAP,horizon=9,walker2d-medium-replay,66.8,58.41,-8.39,"variant: horizon=9; conditions: {""planning_horizon"": ""9""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=15|walker2d-medium-replay,2208.10291|TAP|horizon=15,2208.10291,d4rl,TAP,TAP,horizon=15,walker2d-medium-replay,66.8,66.85,0.05,"variant: horizon=15; conditions: {""planning_horizon"": ""15""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|horizon=21|walker2d-medium-replay,2208.10291|TAP|horizon=21,2208.10291,d4rl,TAP,TAP,horizon=21,walker2d-medium-replay,66.8,69.25,2.45,"variant: horizon=21; conditions: {""planning_horizon"": ""21""}; notes: planning-horizon ablation; no std; horizon=15 is the main setting",Table 3 vs main Table 1
2208.10291|TAP|beta=1e-5|halfcheetah-medium-expert,2208.10291|TAP|beta=1e-5,2208.10291,d4rl,TAP,TAP,beta=1e-5,halfcheetah-medium-expert,91.8,64.3,-27.5,"variant: beta=1e-5; conditions: {""beta_threshold"": ""1e-5""}; notes: OOD-penalty probability threshold ablation; no std; beta=0.05 is the main setting",Table 4 vs main Table 1
2208.10291|TAP|beta=0.002|halfcheetah-medium-expert,2208.10291|TAP|beta=0.002,2208.10291,d4rl,TAP,TAP,beta=0.002,halfcheetah-medium-expert,91.8,91.0,-0.8,"variant: beta=0.002; conditions: {""beta_threshold"": ""0.002""}; notes: OOD-penalty probability threshold ablation; no std; beta=0.05 is the main setting",Table 4 vs main Table 1
