board,task,dataset,metric,lower_is_better,paper_a,paper_b,score_a,score_b,label_a_better
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,2211.05778,87.2,89.6,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,2009.13592,55.4,40.7,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.07636,2108.06152,64.5,45.9,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1808.01244,2211.09807,38.4,65.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2103.14027,2301.05586,53.5,57.2,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2111.11418,2009.13592,41.0,40.7,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1811.05181,2109.07107,35.8,45.1,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2103.14027,2306.00989,53.5,55.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2207.14284,2007.02355,59.2,46.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2205.08534,1904.03579,60.5,39.5,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2104.01329,2112.03857,44.8,60.8,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2207.14284,2112.04632,59.2,49.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2204.03645,2009.13592,49.9,40.7,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.08900,1912.05027,42.6,52.2,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,1803.08494,55.4,42.3,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.03579,2312.09158,39.5,62.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2207.14284,1808.01244,59.2,38.4,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.02043,2103.14027,59.3,53.5,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2203.16527,2205.08534,61.3,60.5,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1909.09777,2104.01329,35.6,44.8,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2205.08534,2312.09158,60.5,62.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1811.05181,1811.11168,35.8,43.1,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2108.06152,1512.03385,45.9,46.3,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1908.04156,2203.16527,41.7,61.3,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1512.03385,2107.00420,46.3,59.6,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.03579,1903.00621,39.5,41.6,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2111.11418,2112.03857,41.0,60.8,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1803.08494,1811.05181,42.3,35.8,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2103.14027,2107.00420,53.5,59.6,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2104.01329,2211.09807,44.8,65.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2106.02253,2211.07636,42.8,64.5,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.07636,1512.03385,64.5,46.3,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2205.08534,2412.09799,60.5,64.1,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2202.03026,2203.16527,54.5,61.3,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2112.04632,2211.07636,49.1,64.5,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2106.13797,2306.00989,50.1,55.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1512.03385,2007.02355,46.3,46.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,2207.14284,55.4,59.2,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,1903.00621,55.4,41.6,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.02701,1712.00726,38.5,42.7,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2301.05586,2312.09158,57.2,62.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2207.14284,2108.06152,59.2,45.9,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.12860,1808.01244,65.9,38.4,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2106.13797,1808.01244,50.1,38.4,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2202.03026,2106.02253,54.5,42.8,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1909.09777,2211.09807,35.6,65.0,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2205.08534,1811.11168,60.5,43.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,2104.01329,55.4,44.8,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.03579,2007.02355,39.5,46.1,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1908.04156,1712.00726,41.7,42.7,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2204.03645,2107.00420,49.9,59.6,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2011.08036,2306.00989,55.4,55.0,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1904.08900,2112.04632,42.6,49.1,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,1811.05181,2108.06152,35.8,45.9,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.02043,2211.07636,59.3,64.5,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2112.04632,1811.05181,49.1,35.8,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.07636,1808.01244,64.5,38.4,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.02043,2112.03857,59.3,60.8,0
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2211.02043,2106.13797,59.3,50.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2009.13592,1808.01244,40.7,38.4,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2301.05586,2007.02355,57.2,46.1,1
Object Detection | COCO minival,Object Detection,COCO minival,box AP,False,2107.00420,1903.00621,59.6,41.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,1904.11451,87.2,77.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,1812.08249,83.8,76.5,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2303.09857,86.8,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2102.05095,86.8,80.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,1906.05571,73.5,81.2,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,1810.11579,71.1,74.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,1908.00497,73.5,75.98,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.11660,2102.05095,85.3,80.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2310.01324,86.8,87.2,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.11660,2303.09857,85.3,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,1812.08249,71.1,76.5,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,2404.03924,90.0,83.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2012.06977,81.2,79.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,1711.09125,83.4,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,1906.05571,83.8,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.01297,2212.03191,87.8,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2203.10233,1810.11579,82.75,74.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,2206.06931,73.9,83.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1812.08249,2212.03191,76.5,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,1708.03805,85.0,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1811.10636,2212.03191,77.4,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,2207.11660,83.8,85.3,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2306.00989,2206.06931,87.8,83.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2102.05095,2207.01297,80.7,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,1711.09125,90.0,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,1812.08249,85.0,76.5,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2106.01603,86.8,79.8,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2206.06931,71.1,83.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2212.03191,88.7,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,1708.03805,73.9,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,1906.05571,90.0,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2103.15584,88.7,77.3,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2112.09133,88.7,87.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.11660,2112.09133,85.3,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2206.06931,83.4,83.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,1608.00859,88.7,73.9,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.00497,1904.02811,75.98,82.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,1904.11451,85.0,77.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1904.02811,2112.09133,82.6,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2112.09133,90.6,87.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,1908.00497,85.0,75.98,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1905.12681,1711.09125,78.9,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2207.11660,88.7,85.3,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.09857,2212.03229,87.7,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1811.10636,1708.03805,77.4,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2302.00402,2306.00989,87.1,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2106.01603,2206.06931,79.8,83.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2012.06977,82.1,79.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,2302.00402,85.0,87.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,1708.03805,87.2,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2102.05095,82.1,80.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,2301.00182,87.2,88.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2301.00182,2212.03229,88.7,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,1810.11579,83.8,74.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,1912.00869,88.7,73.5,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2109.01696,88.7,80.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2303.09857,73.5,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2203.10233,2112.09133,82.75,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2306.00989,83.4,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,1904.02811,90.0,82.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,1906.05571,90.6,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2211.07636,1711.09125,89.7,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2106.01603,81.2,79.8,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.11660,1906.05571,85.3,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,1811.10636,83.4,77.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,2301.00182,73.9,88.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2303.09857,71.1,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2207.01297,73.5,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2103.15584,1810.11579,77.3,74.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,1904.11451,71.1,77.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,1908.02486,83.4,73.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1811.10636,1908.00497,77.4,75.98,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1708.03805,2303.09857,73.0,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2212.03191,71.1,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2211.07636,73.5,89.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.02486,1711.09125,73.7,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2211.07636,2212.03229,89.7,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2212.03229,88.7,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,1711.09125,73.9,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2112.09133,81.2,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2106.01603,2212.03229,79.8,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2103.15584,2102.05095,77.3,80.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2207.01297,71.1,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,1906.05571,83.4,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,2012.06977,87.2,79.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2207.01297,81.2,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.02486,1905.12681,73.7,78.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2211.07636,82.1,89.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2212.03229,81.2,90.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1904.02811,2102.05095,82.6,80.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,1905.12681,83.8,78.9,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2302.00402,1811.10636,87.1,77.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2403.06977,73.5,85.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2303.09857,90.6,87.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1905.12681,2212.03191,78.9,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2012.06977,73.5,79.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,1811.10636,73.5,77.4,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,1810.11579,86.8,74.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2212.03229,1711.09125,90.9,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2106.01603,90.6,79.8,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2203.10233,1708.03805,82.75,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2112.09133,2207.01297,87.0,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.00497,2112.09133,75.98,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2302.00402,86.8,87.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1708.03805,1905.12681,73.0,78.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.09857,2212.03191,87.7,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,2503.14237,73.9,90.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2306.00989,90.6,87.8,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2404.03924,82.1,83.4,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,2303.09857,87.2,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.00497,2012.06977,75.98,79.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,2303.16058,83.8,90.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,2102.05095,85.0,80.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,1711.09125,82.1,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2012.06977,2206.06931,79.1,83.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1708.03805,2012.06977,73.0,79.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,1708.03805,90.0,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,1904.11451,90.0,77.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2102.05095,2306.00989,80.7,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,2303.09857,73.9,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,2211.07636,87.2,89.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2106.01603,1711.09125,79.8,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2203.10233,1904.11451,82.75,77.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,1906.05571,86.8,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,1708.03805,86.8,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2212.03191,90.6,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1810.11579,2207.01297,74.6,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2403.06977,88.7,85.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2310.01324,71.1,87.2,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2306.00989,2112.09133,87.8,87.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,1908.00497,82.1,75.98,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2302.00402,2303.09857,87.1,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,2212.03191,86.8,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1904.11451,2106.01603,77.6,79.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2103.15584,73.5,77.3,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2206.06931,82.1,83.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1811.10636,1908.02486,77.4,73.7,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,2207.01297,83.8,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2503.14237,2207.11660,90.0,85.3,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.09857,1905.12681,87.7,78.9,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2112.09133,2212.03191,87.0,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2111.09883,71.1,86.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2109.01696,83.4,80.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2212.03191,1711.09125,91.1,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2212.03191,83.4,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.09857,2207.01297,87.7,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,2203.10233,82.1,82.75,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1708.03805,2211.07636,73.0,89.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,1906.05571,82.1,81.2,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1904.02811,1810.11579,82.6,74.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,2301.00182,83.8,88.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2301.00182,1812.08249,88.7,76.5,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1904.11451,2212.03191,77.6,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.00497,2212.03191,75.98,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,1904.02811,83.8,82.6,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,1711.09125,90.6,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2301.00182,2109.01696,88.7,80.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.01696,1708.03805,80.4,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2109.08472,2302.00402,83.8,87.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1906.05571,2109.01696,81.2,80.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2111.09883,1811.10636,86.8,77.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2103.15584,1905.12681,77.3,78.9,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2102.05095,2211.07636,80.7,89.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,2301.00182,85.0,88.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1912.00869,2503.14237,73.5,90.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2207.11660,1905.12681,85.3,78.9,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.00497,2303.16058,75.98,90.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1812.08249,1711.09125,76.5,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2112.09133,71.1,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2104.11178,1708.03805,82.1,73.0,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1811.10636,2303.16058,77.4,90.6,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2111.09883,88.7,86.8,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2303.16058,2012.06977,90.6,79.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2304.10465,2206.06931,88.7,83.1,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2012.06977,2212.03191,79.1,91.1,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2306.00989,2203.10233,87.8,82.75,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2303.09857,83.4,87.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2404.03924,2112.09133,83.4,87.0,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2403.06977,1711.09125,85.0,72.4,1
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1705.07750,2102.05095,71.1,80.7,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1608.00859,2203.10233,73.9,82.75,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.02486,2106.01603,73.7,79.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,2310.01324,2207.01297,87.2,87.8,0
Action Classification | Kinetics-400,Action Classification,Kinetics-400,Acc@1,False,1908.02486,2206.06931,73.7,83.1,0
