paper,family,Asynchronous Methods for Deep Reinforcement Learning,Adam: A Method for Stochastic Optimization,Attention Is All You Need,Deep Residual Learning for Image Recognition,Efficient Estimation of Word Representations in Vector Space,Very Deep Convolutional Networks for Large-Scale Image Recognition,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Denoising Diffusion Implicit Models,Denoising Diffusion Probabilistic Models,Elucidating the Design Space of Diffusion-Based Generative Models,Score-Based Generative Modeling through Stochastic Differential Equations,A Simple Framework for Contrastive Learning of Visual Representations,Bootstrap your own latent: A new approach to self-supervised Learning,Exploring Simple Siamese Representation Learning,Revisiting Feature Prediction for Learning Visual Representations from Video,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,Meta-SGD: Learning to Learn Quickly for Few-Shot Learning,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,On First-Order Meta-Learning Algorithms,Proximal Policy Optimization Algorithms,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,Trust Region Policy Optimization,Black box variational inference for state space models,Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,Particle Filter Networks with Application to Visual Localization,Particle Filter Recurrent Neural Networks,The Neural Particle Filter,Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,Deep Kalman Filters,On the relationship between predictive coding and backpropagation,Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,Predictive Coding Networks and Inference Learning: Tutorial and Survey,Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,Predictive Coding: a Theoretical and Experimental Review,Spiking Neural Predictive Coding for Continual Learning from Data Streams,Understanding and Improving Optimization in Predictive Coding Networks,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Dendritic predictive coding: A theory of cortical computation with spiking neurons,Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,Addressing Function Approximation Error in Actor-Critic Methods,Continuous control with deep reinforcement learning,Deep Reinforcement Learning with Double Q-learning,Playing Atari with Deep Reinforcement Learning,Rainbow: Combining Improvements in Deep Reinforcement Learning,Adaptive Neural Unscented Kalman Filter,Backprop KF: Learning Discriminative Deterministic State Estimators,Deep Robust Kalman Filter,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,Linear Variational State-Space Filtering,Neural Kalman Filtering,PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,Variational Tracking and Prediction with Generative Disentangled State-Space Models,Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,Dream to Control: Learning Behaviors by Latent Imagination,Learning Latent Dynamics for Planning from Pixels,Mastering Atari with Discrete World Models,Mastering Diverse Domains through World Models,World Models
Rainbow: Combining Improvements in Deep Reinforcement Learning,replay-off-policy,0.14,0.17,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.00,0.00,0.12,0.00,0.00,0.17,0.29,0.14,0.17,0.00,0.00,0.00,0.17,0.11,0.17,0.14,0.14,0.17,0.00,0.17,0.14,0.17,0.14,0.14,0.00,0.20,0.00,0.00,0.00,0.17,0.33,0.33,0.25,1.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adaptive Neural Unscented Kalman Filter,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Backprop KF: Learning Discriminative Deterministic State Estimators,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.25,0.12,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.29,0.00,0.14,0.00,0.00,0.14,0.12,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.14,0.00,0.14,0.00,0.33,0.00,0.00,0.12,0.00,0.00,0.12
Deep Robust Kalman Filter,state-estimation,0.12,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.11,0.12,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.14,0.00,0.14,0.12,0.14,0.12,0.12,0.00,0.17,0.00,0.00,0.00,0.14,0.08,0.12,0.07,0.12,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.17,0.17,0.00,0.20,0.00,0.00,0.20,0.17,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.50,0.20,0.20,0.00,0.00,0.17,0.00,0.00,0.40
Linear Variational State-Space Filtering,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neural Kalman Filtering,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.17,0.33,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.17,0.17,0.00,0.20,0.00,0.00,0.20,0.17,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.50,0.00,1.00,0.20,0.20,0.00,0.00,0.17,0.00,0.00,0.40
PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Variational Tracking and Prediction with Generative Disentangled State-Space Models,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.20,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.20,0.00,0.20,0.00,1.00,0.00,0.00,0.17,0.00,0.00,0.17
Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,worldmodels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Dream to Control: Learning Behaviors by Latent Imagination,worldmodels,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.00,0.00
Learning Latent Dynamics for Planning from Pixels,worldmodels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.12,0.14,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.00,0.17,0.00,0.14,0.17,0.14,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,1.00,0.17,0.00,0.14
Mastering Atari with Discrete World Models,worldmodels,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.17,1.00,0.00,0.00
Mastering Diverse Domains through World Models,worldmodels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
World Models,worldmodels,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.14,0.29,0.33,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.14,0.14,0.00,0.17,0.00,0.00,0.17,0.14,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.40,0.00,0.40,0.17,0.17,0.00,0.00,0.14,0.00,0.00,1.00
